naics3,title,size,share,ybar,skill,psi,logwage,educ,female,ind_effects_adj,skill_adj,wc
311,Food Manufacturing,38226000,.12669614,9.283817924972533,-.24407361,.3248262465337729,2.7335424,12.086887,.37319934,.27415311,-.12964387,17295004
313,Textile Mills,5195000,.017218294,9.136924927815208,-.29171222,.2230444080846969,2.6816657,11.989532,.43350798,.22885813,-.1362257,2277409
315,Apparel Manufacturing,2967000,.0098338164,9.098895854398384,-.22897443,.1466246039770813,2.6062412,11.578188,.61511457,.14716405,-.12995601,2601504
321,Wood Product Manufacturing,7963000,.026392544,9.203195529323123,-.22424467,.217735200301394,2.6943402,11.928318,.16122204,.21257707,-.10726997,3622780
322,Paper Manufacturing,10152000,.033647761,9.532546296296299,-.095454685,.4283186367218283,3.0220149,12.846048,.24867505,.43684211,-.0038604476,3497460
323,Printing and Related Support Activities,10570000,.035033178,9.282000000000002,-.12726025,.2163000000000001,2.8477404,12.888768,.35081956,.26059794,-.0018905663,4806987
324,Petroleum and Coal Products Manufacturing,3269000,.010834764,10.05,.21973975,.6214000000000002,3.3867798,13.691823,.18387558,.69355416,.10419235,1826719
325,Chemical Manufacturing,21503000,.071269482,9.777100590615266,.10552467,.4653368832255965,3.2505882,14.196547,.35436809,.51985294,.14170207,11593645
326,Plastics and Rubber Products Manufacturing,16766000,.055569183,9.320471907431708,-.19119857,.3030808302517,2.832309,12.53906,.29301789,.30486643,-.06159072,4854441
327,Nonmetallic Mineral Product Manufacturing,9493000,.031463571,9.420477193721691,-.12425814,.3374356789213106,2.8930769,12.439256,.19521177,.33702356,-.032979824,3661429
331,Primary Metal Manufacturing,10323000,.034214523,9.565383028189483,-.11686336,.4802537537537538,2.9863079,12.579591,.14414538,.42135847,-.024083862,4589318
332,Fabricated Metal Product Manufacturing,33973000,.11260001,9.386379271774647,-.0951076,.2831071998351633,2.8808997,12.459981,.18958171,.32188016,-.030013798,10481987
333,Machinery Manufacturing,28393000,.094105676,9.543298629944003,-.0010662206,.3428359349135351,3.0286152,13.240644,.21565324,.39938101,.040200993,10882985
334,Computer and Electronic Product Manufacturing,29113000,.096492045,9.861499982825544,.26058221,.4211243705561091,3.3579128,14.675952,.30509478,.50987136,.25900835,10639671
335,"Electrical Equipment, Appliance, and Component Manufacturing",10014000,.033190373,9.477648392250853,-.063004307,.3400920311563811,3.0094631,13.351645,.30715373,.37804139,.042388741,3778948
336,Transportation Equipment Manufacturing,41335000,.13700061,9.645860626587641,.017980328,.4250510487480345,3.1078601,13.475765,.2454524,.45866197,.060164761,19972105
337,Furniture and Related Product Manufacturing,8434000,.027953625,9.187783021105055,-.21026665,.1921963006876928,2.7058032,12.062802,.25625473,.21595082,-.099180847,3715303
339,Miscellaneous Manufacturing,14025000,.046484418,9.424735614973264,-.054513298,.2828963422459894,2.9238293,13.095994,.36675581,.31435332,.020442761,14619962
,SD,,,.2178769186365913,.15339325,.0872482457815653,.20961528,.8339653,.089679688,.10914908,.10943842,
